"","host_is_superhost","host_identity_verified","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","downtown","airport","ddowntown"
"165","f","t","Apartment","Private room",2,1.5,1,1,"Real Bed",62,2,3,9,"f","f","moderate",0,0,9079
"166","f","f","Apartment","Private room",2,1,1,1,"Real Bed",60,1,2,5,"f","f","strict",0,0,9079
"167","f","t","Apartment","Private room",2,1,1,1,"Real Bed",95,1,3,21,"f","f","strict",0,0,9079
"168","f","t","House","Entire home/apt",4,1,2,2,"Real Bed",135,2,2,0,"f","f","flexible",0,0,9079
"169","t","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",129,1,1,107,"f","t","strict",0,0,9079
"170","t","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",210,4,2,65,"f","t","moderate",0,0,9079
"171","t","t","House","Entire home/apt",4,1,2,2,"Real Bed",160,1,2,4,"f","f","moderate",0,0,9079
"172","f","t","Apartment","Entire home/apt",3,1,2,1,"Real Bed",120,1,3,11,"f","f","moderate",0,0,9079
"173","f","t","Condominium","Entire home/apt",5,1,2,2,"Real Bed",114,2,3,11,"f","t","strict",0,0,9079
"174","f","t","House","Entire home/apt",8,2.5,5,5,"Real Bed",350,1,14,0,"t","f","flexible",0,0,9079
"175","f","t","Apartment","Entire home/apt",4,1,2,3,"Real Bed",140,1,2,9,"f","f","moderate",0,0,9079
"176","f","f","Apartment","Entire home/apt",4,1,1,2,"Real Bed",150,2,1,2,"f","f","strict",0,0,9079
"177","f","f","House","Entire home/apt",6,2,3,4,"Real Bed",295,1,3,1,"f","f","flexible",0,0,9079
"178","f","f","Apartment","Entire home/apt",3,1,1,1,"Real Bed",185,1,1,0,"f","f","flexible",0,0,9079
"179","t","t","Apartment","Entire home/apt",4,1,3,5,"Real Bed",289,4,2,10,"f","t","strict",0,0,9079
"180","f","t","Condominium","Entire home/apt",4,1,2,2,"Real Bed",145,4,2,5,"f","f","strict",0,0,9079
"181","f","f","Condominium","Entire home/apt",7,1,3,5,"Real Bed",267,6,2,18,"t","t","flexible",0,0,9079
"182","t","t","House","Entire home/apt",9,3.5,4,5,"Real Bed",300,6,3,1,"f","f","strict",0,0,9079
"184","f","t","Apartment","Shared room",2,1,1,1,"Pull-out Sofa",75,1,2,10,"f","f","flexible",0,0,9079
"185","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",220,1,30,1,"f","f","strict",0,0,9079
"186","t","t","Apartment","Private room",1,1,1,1,"Real Bed",60,1,30,5,"f","f","moderate",0,0,9079
"187","f","f","Bed & Breakfast","Private room",2,1,1,1,"Real Bed",55,1,300,3,"f","f","flexible",0,0,9079
"188","f","t","Apartment","Entire home/apt",6,2,3,3,"Real Bed",250,1,4,6,"f","f","strict",0,0,9079
"189","f","t","Condominium","Entire home/apt",6,1,2,2,"Real Bed",225,2,90,15,"f","f","strict",0,0,9079
"190","f","t","House","Entire home/apt",5,3.5,4,4,"Real Bed",325,4,3,11,"f","t","moderate",0,0,9079
"191","f","t","House","Private room",2,1,1,1,"Real Bed",85,1,1,5,"f","f","flexible",0,0,9079
"192","f","f","Apartment","Entire home/apt",5,2,2,3,"Real Bed",225,1,30,2,"f","f","moderate",0,0,9079
"193","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",95,2,1,5,"f","f","flexible",0,0,9079
"194","f","f","Apartment","Private room",2,1,1,1,"Real Bed",63,1,1,2,"f","f","flexible",0,0,9079
"195","t","t","House","Private room",2,1,1,1,"Real Bed",71,1,3,232,"f","f","strict",0,0,9079
"196","t","t","Apartment","Private room",2,1,1,1,"Real Bed",82,1,1,20,"f","f","moderate",0,0,9079
"197","f","t","Apartment","Entire home/apt",4,2,2,3,"Real Bed",350,1,1,16,"t","f","strict",0,0,9079
"198","f","t","House","Private room",2,1,1,1,"Real Bed",120,1,2,94,"f","f","flexible",0,0,9079
"199","f","f","House","Private room",1,1,1,1,"Real Bed",39,1,7,0,"f","f","strict",0,0,9079
"200","t","t","House","Entire home/apt",6,2,2,2,"Real Bed",195,3,4,49,"t","t","strict",0,0,9079
"201","f","f","Condominium","Private room",2,1,1,1,"Real Bed",65,1,2,1,"f","f","flexible",0,0,9079
"202","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",140,1,1,30,"t","f","flexible",0,0,9079
"203","f","f","Apartment","Private room",2,1,1,1,"Real Bed",70,1,2,15,"f","f","flexible",0,0,9079
"204","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",200,4,2,47,"f","f","moderate",0,0,9079
"205","t","t","Apartment","Entire home/apt",4,1,1,4,"Real Bed",130,3,2,123,"f","f","moderate",0,0,9079
"206","f","t","Apartment","Private room",2,1,1,1,"Real Bed",46,1,1,2,"f","f","flexible",0,0,9079
"207","t","t","Condominium","Private room",2,1,1,1,"Real Bed",75,1,2,32,"f","f","flexible",0,0,9079
"208","t","t","Condominium","Entire home/apt",4,1,2,2,"Real Bed",120,1,1,0,"f","f","flexible",0,0,9079
"209","f","t","Apartment","Entire home/apt",6,1,3,3,"Real Bed",319,6,2,22,"f","f","moderate",0,0,9079
"210","f","t","House","Private room",2,1,1,1,"Real Bed",46,2,2,48,"t","f","strict",0,0,9079
"211","f","t","House","Entire home/apt",5,2,4,3,"Real Bed",149,5,30,1,"f","f","strict",0,0,9079
"212","f","t","House","Private room",2,1,1,1,"Real Bed",85,1,1,10,"t","f","flexible",0,0,9079
"213","f","t","Apartment","Entire home/apt",8,1.5,4,4,"Real Bed",300,6,4,2,"f","f","strict",0,0,9079
"214","t","t","Apartment","Entire home/apt",8,2,4,4,"Real Bed",399,4,2,28,"f","t","strict",0,0,9079
"215","f","f","Condominium","Private room",2,1,1,1,"Real Bed",75,1,1,11,"t","f","moderate",0,0,9079
"216","t","t","House","Private room",2,1,1,1,"Real Bed",80,1,1,69,"f","f","moderate",0,0,9079
"217","t","t","Apartment","Private room",2,1,1,2,"Real Bed",65,1,1,8,"f","f","flexible",0,0,9079
"218","f","t","House","Entire home/apt",2,1,0,1,"Real Bed",90,1,2,217,"t","f","moderate",0,0,9079
"219","f","t","Condominium","Entire home/apt",4,1,2,2,"Real Bed",200,4,2,3,"f","f","strict",0,0,9079
"220","f","t","Apartment","Private room",2,1,1,1,"Real Bed",55,1,1,60,"f","f","moderate",0,0,9079
"221","f","f","Apartment","Entire home/apt",4,1,2,2,"Real Bed",120,2,3,1,"f","f","strict",0,0,9079
"223","f","t","House","Entire home/apt",4,1,2,1,"Real Bed",170,2,2,44,"f","f","moderate",0,0,9079
"224","f","t","House","Entire home/apt",7,2,3,4,"Real Bed",300,2,2,3,"f","f","flexible",0,0,9079
"225","f","t","Apartment","Entire home/apt",5,2,2,1,"Real Bed",175,1,3,0,"f","f","strict",0,0,9079
"226","f","t","Apartment","Private room",3,1,1,1,"Real Bed",75,1,2,0,"f","f","strict",0,0,9079
"227","f","t","Apartment","Entire home/apt",3,1,0,1,"Real Bed",122,1,3,0,"f","f","strict",0,0,9079
"228","f","f","Apartment","Private room",2,1,1,1,"Real Bed",80,1,1,0,"f","f","flexible",0,0,9079
"229","f","t","Apartment","Entire home/apt",5,2,2,2,"Real Bed",177,1,3,1,"f","f","strict",0,0,9079
"230","t","t","House","Private room",2,1,1,1,"Real Bed",69,1,2,22,"t","f","moderate",0,0,9079
"231","t","t","House","Entire home/apt",5,1.5,2,3,"Real Bed",187,4,5,3,"f","t","strict",0,0,9079
"232","t","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",120,2,3,27,"f","t","flexible",0,0,9079
"233","f","t","Apartment","Private room",1,1,1,1,"Real Bed",70,1,3,0,"t","f","flexible",0,0,9079
"234","f","t","Guest suite","Entire home/apt",2,1,1,1,"Real Bed",100,2,3,134,"f","t","strict",0,0,9079
"235","f","t","Guesthouse","Private room",2,1,1,1,"Real Bed",179,1,1,2,"t","f","moderate",0,0,9079
"236","f","f","Apartment","Private room",2,1,1,1,"Real Bed",65,1,2,38,"f","f","strict",0,0,9079
"237","f","t","House","Entire home/apt",6,1,4,4,"Real Bed",335,1,4,2,"f","f","strict",0,0,9079
"238","t","t","Apartment","Entire home/apt",9,2,4,4,"Real Bed",195,4,2,109,"f","t","strict",0,0,9079
"239","f","f","Apartment","Entire home/apt",5,2,2,1,"Real Bed",189,1,3,0,"f","f","strict",0,0,9079
"240","f","f","Apartment","Private room",2,1,1,1,"Real Bed",80,1,1,1,"f","f","moderate",0,0,9079
"241","f","f","Other","Private room",1,1,0,1,"Real Bed",37,1,5,2,"t","f","flexible",0,0,9079
"242","f","f","House","Private room",1,1,1,1,"Real Bed",65,1,1,5,"t","f","strict",0,0,9079
"243","f","t","House","Entire home/apt",10,2.5,5,5,"Real Bed",250,4,5,3,"f","f","strict",0,0,9079
"244","f","f","Other","Private room",1,1,0,1,"Real Bed",37,1,3,0,"t","f","flexible",0,0,9079
"245","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",225,4,3,20,"f","f","strict",0,0,9079
