"","host_is_superhost","host_identity_verified","neighborhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","ddowntown","dairport"
"160","f","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",65,1,1,3,"f","f","strict",5523,8754
"161","f","f","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",100,1,1,16,"f","f","flexible",5523,8754
"162","f","f","Jamaica Plain","Apartment","Private room",1,1,1,1,"Real Bed",50,1,1,9,"f","f","moderate",5523,8754
"163","t","t","Jamaica Plain","Condominium","Private room",1,1,1,1,"Real Bed",88,1,6,30,"f","f","moderate",5523,8754
"164","f","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",120,1,2,31,"f","f","moderate",5523,8754
"165","f","t","Jamaica Plain","Apartment","Private room",2,1.5,1,1,"Real Bed",62,2,3,9,"f","f","moderate",5523,8754
"166","f","f","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",60,1,2,5,"f","f","strict",5523,8754
"167","f","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",95,1,3,21,"f","f","strict",5523,8754
"168","f","t","Jamaica Plain","House","Entire home/apt",4,1,2,2,"Real Bed",135,2,2,0,"f","f","flexible",5523,8754
"169","t","f","Jamaica Plain","Apartment","Entire home/apt",2,1,0,1,"Real Bed",129,1,1,107,"f","t","strict",5523,8754
"170","t","t","Jamaica Plain","Apartment","Entire home/apt",4,1,2,2,"Real Bed",210,4,2,65,"f","t","moderate",5523,8754
"171","t","t","Jamaica Plain","House","Entire home/apt",4,1,2,2,"Real Bed",160,1,2,4,"f","f","moderate",5523,8754
"172","f","t","Jamaica Plain","Apartment","Entire home/apt",3,1,2,1,"Real Bed",120,1,3,11,"f","f","moderate",5523,8754
"173","f","t","Jamaica Plain","Condominium","Entire home/apt",5,1,2,2,"Real Bed",114,2,3,11,"f","t","strict",5523,8754
"174","f","t","Jamaica Plain","House","Entire home/apt",8,2.5,5,5,"Real Bed",350,1,14,0,"t","f","flexible",5523,8754
"175","f","t","Jamaica Plain","Apartment","Entire home/apt",4,1,2,3,"Real Bed",140,1,2,9,"f","f","moderate",5523,8754
"176","f","f","Jamaica Plain","Apartment","Entire home/apt",4,1,1,2,"Real Bed",150,2,1,2,"f","f","strict",5523,8754
"177","f","f","Jamaica Plain","House","Entire home/apt",6,2,3,4,"Real Bed",295,1,3,1,"f","f","flexible",5523,8754
"178","f","f","Jamaica Plain","Apartment","Entire home/apt",3,1,1,1,"Real Bed",185,1,1,0,"f","f","flexible",5523,8754
"179","t","t","Jamaica Plain","Apartment","Entire home/apt",4,1,3,5,"Real Bed",289,4,2,10,"f","t","strict",5523,8754
"180","f","t","Jamaica Plain","Condominium","Entire home/apt",4,1,2,2,"Real Bed",145,4,2,5,"f","f","strict",5523,8754
"181","f","f","Jamaica Plain","Condominium","Entire home/apt",7,1,3,5,"Real Bed",267,6,2,18,"t","t","flexible",5523,8754
"182","t","t","Jamaica Plain","House","Entire home/apt",9,3.5,4,5,"Real Bed",300,6,3,1,"f","f","strict",5523,8754
"183","f","t","Jamaica Plain","Apartment","Entire home/apt",6,1,3,3,"Real Bed",500,5,3,9,"f","f","strict",5523,8754
"184","f","t","Jamaica Plain","Apartment","Shared room",2,1,1,1,"Pull-out Sofa",75,1,2,10,"f","f","flexible",5523,8754
"185","f","t","Jamaica Plain","Apartment","Entire home/apt",4,1,2,2,"Real Bed",220,1,30,1,"f","f","strict",5523,8754
"186","t","t","Jamaica Plain","Apartment","Private room",1,1,1,1,"Real Bed",60,1,30,5,"f","f","moderate",5523,8754
"187","f","f","Jamaica Plain","Bed & Breakfast","Private room",2,1,1,1,"Real Bed",55,1,300,3,"f","f","flexible",5523,8754
"188","f","t","Jamaica Plain","Apartment","Entire home/apt",6,2,3,3,"Real Bed",250,1,4,6,"f","f","strict",5523,8754
"189","f","t","Jamaica Plain","Condominium","Entire home/apt",6,1,2,2,"Real Bed",225,2,90,15,"f","f","strict",5523,8754
"190","f","t","Jamaica Plain","House","Entire home/apt",5,3.5,4,4,"Real Bed",325,4,3,11,"f","t","moderate",5523,8754
"191","f","t","Jamaica Plain","House","Private room",2,1,1,1,"Real Bed",85,1,1,5,"f","f","flexible",5523,8754
"192","f","f","Jamaica Plain","Apartment","Entire home/apt",5,2,2,3,"Real Bed",225,1,30,2,"f","f","moderate",5523,8754
"193","f","t","Jamaica Plain","Apartment","Entire home/apt",2,1,1,1,"Real Bed",95,2,1,5,"f","f","flexible",5523,8754
"194","f","f","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",63,1,1,2,"f","f","flexible",5523,8754
"195","t","t","Jamaica Plain","House","Private room",2,1,1,1,"Real Bed",71,1,3,232,"f","f","strict",5523,8754
"196","t","t","Jamaica Plain","Apartment","Private room",2,1,1,1,"Real Bed",82,1,1,20,"f","f","moderate",5523,8754
"197","f","t","Jamaica Plain","Apartment","Entire home/apt",4,2,2,3,"Real Bed",350,1,1,16,"t","f","strict",5523,8754
