"","host_is_superhost","host_identity_verified","zipcode","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy"
"240","f","f","02130","Apartment","Private room",2,1,1,1,"Real Bed",80,1,1,1,"f","f","moderate"
"241","f","f","02130","Other","Private room",1,1,0,1,"Real Bed",37,1,5,2,"t","f","flexible"
"242","f","f","02130","House","Private room",1,1,1,1,"Real Bed",65,1,1,5,"t","f","strict"
"243","f","t","02119","House","Entire home/apt",10,2.5,5,5,"Real Bed",250,4,5,3,"f","f","strict"
"244","f","f","02130","Other","Private room",1,1,0,1,"Real Bed",37,1,3,0,"t","f","flexible"
"245","f","t","02130","Apartment","Entire home/apt",4,1,2,2,"Real Bed",225,4,3,20,"f","f","strict"
"246","f","f","02130","Apartment","Entire home/apt",3,1,1,1,"Real Bed",144,1,3,0,"f","f","strict"
"247","f","f","02130","Guest suite","Private room",2,1,0,1,"Real Bed",138,1,3,4,"f","f","flexible"
"248","f","f","02130","Apartment","Private room",2,1,1,1,"Real Bed",61,1,1,0,"t","f","strict"
"249","f","t","02130","Apartment","Entire home/apt",3,1,1,1,"Real Bed",133,1,3,0,"f","f","strict"
"250","t","t","02131","Apartment","Private room",2,1,1,1,"Real Bed",50,2,1,189,"t","f","flexible"
"251","f","t","02119","Apartment","Entire home/apt",4,1,2,2,"Real Bed",120,1,1,0,"f","f","flexible"
"252","f","f","02130","Apartment","Entire home/apt",3,1,1,1,"Real Bed",87,1,1,7,"f","f","moderate"
"253","f","f","02130","Apartment","Entire home/apt",4,1,1,2,"Real Bed",150,2,2,2,"f","f","moderate"
"254","f","t","02130","Apartment","Entire home/apt",3,1,0,1,"Real Bed",111,1,3,0,"f","f","strict"
"255","f","f","02130","House","Entire home/apt",2,1,1,1,"Real Bed",151,1,3,17,"f","t","flexible"
"256","t","t","02130","Apartment","Private room",2,1,1,1,"Futon",69,1,2,174,"f","f","moderate"
"257","f","t","02130","House","Private room",2,2,1,1,"Real Bed",150,1,1,24,"f","f","moderate"
"258","f","t","02130","Apartment","Entire home/apt",4,1,2,2,"Real Bed",200,4,2,35,"f","f","strict"
"259","t","t","02130","House","Private room",4,1,2,2,"Real Bed",125,2,1,176,"f","f","strict"
"260","t","t","02130","Apartment","Entire home/apt",2,1,1,1,"Real Bed",85,1,2,89,"t","f","moderate"
