"","host_is_superhost","host_identity_verified","neighborhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy"
"1695","f","f","Back Bay","Apartment","Entire home/apt",5,2,2,3,"Real Bed",429,1,2,26,"t","t","strict"
"1701","f","f","Back Bay","Apartment","Entire home/apt",2,1,1,1,"Real Bed",514,1,1,0,"f","f","flexible"
"1710","f","f","Back Bay","Apartment","Entire home/apt",5,2,2,3,"Real Bed",429,1,2,14,"f","t","strict"
"1723","t","t","Back Bay","Condominium","Entire home/apt",7,2,3,3,"Real Bed",695,5,2,128,"t","t","strict"
"1741","t","t","Back Bay","Apartment","Entire home/apt",8,2.5,4,5,"Real Bed",500,5,2,44,"t","t","strict"
"1749","f","f","Back Bay","Apartment","Entire home/apt",8,2,3,3,"Real Bed",499,1,2,0,"f","f","flexible"
"1754","f","f","Back Bay","Apartment","Entire home/apt",4,2,2,3,"Real Bed",450,1,2,2,"f","f","strict"
"1773","f","t","Back Bay","Apartment","Entire home/apt",6,2,2,2,"Real Bed",550,1,2,4,"f","f","moderate"
"1774","f","f","Back Bay","Apartment","Entire home/apt",5,2,2,2,"Real Bed",429,1,2,2,"t","f","strict"
"1794","f","t","Back Bay","Apartment","Entire home/apt",6,1,2,2,"Real Bed",449,1,2,1,"f","f","super_strict_30"
"1809","f","f","Back Bay","Apartment","Entire home/apt",16,3.5,7,7,"Real Bed",525,1,3,28,"f","t","strict"
"1817","f","t","Back Bay","Apartment","Entire home/apt",4,2,2,2,"Real Bed",600,1,2,0,"f","f","flexible"
"1820","f","t","Back Bay","Apartment","Entire home/apt",6,2,2,3,"Real Bed",975,5,2,0,"f","f","strict"
"1867","f","f","Back Bay","Apartment","Entire home/apt",3,1,1,2,"Real Bed",429,1,1,1,"t","f","strict"
"1869","f","f","Back Bay","Apartment","Entire home/apt",3,1,1,2,"Real Bed",429,1,1,0,"t","f","strict"
"1870","f","f","Back Bay","Apartment","Entire home/apt",3,1,1,2,"Real Bed",429,1,1,1,"t","f","strict"
"1875","f","f","Back Bay","Apartment","Entire home/apt",3,1,1,2,"Real Bed",429,1,1,0,"t","f","strict"
"1876","f","f","Back Bay","Apartment","Entire home/apt",6,1.5,2,2,"Real Bed",680,4,1,0,"t","f","strict"
"1879","f","f","Back Bay","Apartment","Entire home/apt",7,2,3,4,"Real Bed",429,1,2,15,"f","t","strict"
"1884","f","t","Back Bay","Apartment","Entire home/apt",2,1,1,1,"Real Bed",699,1,2,0,"t","f","strict"
"1886","f","t","Back Bay","Townhouse","Entire home/apt",8,3,3,4,"Real Bed",999,6,1,6,"t","t","moderate"
"1889","f","f","Back Bay","Apartment","Entire home/apt",5,2,2,2,"Real Bed",429,1,2,0,"f","f","strict"
"1891","f","f","Back Bay","Apartment","Entire home/apt",5,2,2,3,"Real Bed",429,1,1,0,"t","f","strict"
"1894","f","f","Back Bay","Apartment","Entire home/apt",6,1,3,3,"Real Bed",568,1,2,39,"t","f","strict"
"1895","f","f","Back Bay","Apartment","Entire home/apt",5,1,2,3,"Real Bed",429,1,1,1,"t","f","strict"
"1898","f","f","Back Bay","Apartment","Entire home/apt",5,2,2,2,"Real Bed",429,1,2,8,"f","t","strict"
"1900","f","f","Back Bay","Apartment","Entire home/apt",4,2,2,2,"Real Bed",750,1,1,7,"f","t","strict"
"1901","f","t","Back Bay","Apartment","Entire home/apt",5,2,3,3,"Real Bed",450,1,5,1,"f","f","strict"
"1906","f","f","Back Bay","Apartment","Entire home/apt",5,2,2,2,"Real Bed",429,1,2,7,"t","t","strict"
"1910","t","f","Back Bay","Apartment","Entire home/apt",4,2,2,2,"Real Bed",425,1,4,32,"f","t","strict"
"1913","f","f","Back Bay","Apartment","Entire home/apt",5,2,2,3,"Real Bed",429,1,2,15,"f","t","strict"
"1915","f","t","Back Bay","House","Entire home/apt",6,2.5,3,2,"Real Bed",550,1,3,15,"f","f","moderate"
"1934","f","f","Back Bay","Apartment","Entire home/apt",2,1,1,1,"Real Bed",595,1,1,0,"f","f","flexible"
"1948","f","t","Back Bay","Apartment","Entire home/apt",5,3.5,3,3,"Real Bed",1250,1,30,1,"f","f","strict"
"1963","f","f","Back Bay","Apartment","Entire home/apt",2,1,1,1,"Real Bed",600,1,1,0,"f","f","flexible"
"1987","f","f","Back Bay","Apartment","Entire home/apt",5,1,2,3,"Real Bed",429,1,1,0,"t","f","strict"
"2012","t","t","Back Bay","Apartment","Entire home/apt",5,2,2,2,"Real Bed",425,4,2,118,"t","t","strict"
"2133","t","t","East Boston","Apartment","Entire home/apt",8,2,4,4,"Real Bed",449,1,1,1,"t","f","strict"
"2228","f","f","East Boston","Apartment","Entire home/apt",12,3,3,4,"Real Bed",475,6,1,0,"t","f","moderate"
"2238","t","t","East Boston","House","Entire home/apt",16,3,6,8,"Real Bed",800,1,2,0,"f","f","strict"
"2278","f","f","Charlestown","House","Entire home/apt",10,4,5,6,"Real Bed",499,6,2,12,"t","t","strict"
"2282","f","t","Charlestown","House","Entire home/apt",7,3,4,5,"Real Bed",500,6,1,167,"f","t","strict"
"2287","f","f","Charlestown","Condominium","Private room",1,1,0,1,"Real Bed",1000,1,1,0,"t","f","flexible"
"2300","f","f","Charlestown","Condominium","Entire home/apt",6,3,3,3,"Real Bed",599,1,2,0,"f","f","moderate"
"2302","f","t","Charlestown","House","Entire home/apt",6,3,3,4,"Real Bed",600,2,4,5,"f","f","strict"
"2303","f","t","Charlestown","Townhouse","Entire home/apt",10,4,3,3,"Real Bed",700,1,1,1,"f","f","flexible"
"2310","f","f","Charlestown","Condominium","Entire home/apt",2,1,1,1,"Real Bed",600,1,1,0,"f","f","flexible"
