"","host_is_superhost","host_identity_verified","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","minimum_nights","number_of_reviews","instant_bookable","is_business_travel_ready","cancellation_policy","ddowntown","dairport"
"132","f","f","Condominium","Private room",2,1.5,1,1,"Real Bed",90,1,1,0,"t","f","flexible",9079,13573
"133","t","t","Bed & Breakfast","Entire home/apt",4,1,2,2,"Real Bed",160,2,2,138,"f","f","strict",9079,13573
"134","f","t","House","Private room",1,1,1,1,"Real Bed",75,1,14,20,"f","f","strict",9079,13573
"135","f","t","Apartment","Entire home/apt",6,1,2,4,"Real Bed",168,1,2,90,"t","f","moderate",9079,13573
"136","f","t","Condominium","Entire home/apt",4,1,2,2,"Real Bed",169,1,2,4,"t","t","flexible",9079,13573
"137","f","f","House","Entire home/apt",4,1.5,2,2,"Real Bed",100,1,14,0,"t","f","flexible",9079,13573
"138","f","t","Apartment","Entire home/apt",5,1,2,3,"Real Bed",192,4,2,48,"t","t","moderate",9079,13573
"139","f","f","Apartment","Entire home/apt",4,1,1,1,"Real Bed",113,2,1,0,"f","f","moderate",9079,13573
"141","f","t","Apartment","Entire home/apt",3,1,0,1,"Real Bed",100,2,7,0,"f","f","moderate",9079,13573
"142","t","t","House","Entire home/apt",6,1,2,3,"Real Bed",147,4,1,48,"t","t","moderate",9079,13573
"143","f","t","Apartment","Entire home/apt",3,1,0,1,"Real Bed",119,1,3,1,"f","f","strict",9079,13573
"144","f","t","Apartment","Entire home/apt",3,1,1,1,"Real Bed",130,1,3,0,"f","f","flexible",9079,13573
"145","f","t","Apartment","Entire home/apt",3,1,1,1,"Real Bed",135,1,3,0,"f","f","strict",9079,13573
"146","f","t","Apartment","Entire home/apt",5,2,2,1,"Real Bed",170,1,3,0,"f","f","strict",9079,13573
"147","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",110,2,2,6,"f","f","moderate",9079,13573
"148","f","t","Apartment","Entire home/apt",5,2,2,1,"Real Bed",175,1,3,0,"f","f","strict",9079,13573
"149","t","t","Apartment","Entire home/apt",6,2,2,2,"Real Bed",240,1,3,142,"t","f","strict",9079,13573
"150","f","f","Apartment","Entire home/apt",4,1,2,2,"Real Bed",150,4,5,25,"f","t","moderate",9079,13573
"151","t","t","Apartment","Entire home/apt",6,1,3,3,"Real Bed",160,1,2,26,"f","t","moderate",9079,13573
"152","f","t","Apartment","Entire home/apt",4,2,2,2,"Real Bed",185,1,7,6,"f","f","strict",9079,13573
"153","f","t","Condominium","Private room",2,1,1,1,"Real Bed",60,1,1,14,"t","f","moderate",9079,13573
"154","f","f","House","Private room",2,1,1,2,"Real Bed",110,1,2,14,"t","f","flexible",9079,13573
"155","t","t","Apartment","Private room",2,1,1,1,"Real Bed",84,1,4,39,"f","f","moderate",9079,13573
"156","f","t","Apartment","Private room",4,1.5,2,2,"Real Bed",79,1,1,11,"t","f","flexible",9079,13573
"157","f","f","Condominium","Private room",2,1,1,1,"Real Bed",75,1,1,4,"t","f","moderate",9079,13573
"158","f","f","Apartment","Private room",2,1,1,1,"Real Bed",63,1,1,7,"t","f","strict",9079,13573
"159","t","t","House","Private room",2,1,1,1,"Real Bed",92,1,1,294,"f","f","moderate",9079,13573
"160","f","t","Apartment","Private room",2,1,1,1,"Real Bed",65,1,1,3,"f","f","strict",9079,13573
"161","f","f","Apartment","Private room",2,1,1,1,"Real Bed",100,1,1,16,"f","f","flexible",9079,13573
"162","f","f","Apartment","Private room",1,1,1,1,"Real Bed",50,1,1,9,"f","f","moderate",9079,13573
"163","t","t","Condominium","Private room",1,1,1,1,"Real Bed",88,1,6,30,"f","f","moderate",9079,13573
"164","f","t","Apartment","Private room",2,1,1,1,"Real Bed",120,1,2,31,"f","f","moderate",9079,13573
"165","f","t","Apartment","Private room",2,1.5,1,1,"Real Bed",62,2,3,9,"f","f","moderate",9079,13573
"166","f","f","Apartment","Private room",2,1,1,1,"Real Bed",60,1,2,5,"f","f","strict",9079,13573
"167","f","t","Apartment","Private room",2,1,1,1,"Real Bed",95,1,3,21,"f","f","strict",9079,13573
"168","f","t","House","Entire home/apt",4,1,2,2,"Real Bed",135,2,2,0,"f","f","flexible",9079,13573
"169","t","f","Apartment","Entire home/apt",2,1,0,1,"Real Bed",129,1,1,107,"f","t","strict",9079,13573
"170","t","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",210,4,2,65,"f","t","moderate",9079,13573
"171","t","t","House","Entire home/apt",4,1,2,2,"Real Bed",160,1,2,4,"f","f","moderate",9079,13573
"172","f","t","Apartment","Entire home/apt",3,1,2,1,"Real Bed",120,1,3,11,"f","f","moderate",9079,13573
"173","f","t","Condominium","Entire home/apt",5,1,2,2,"Real Bed",114,2,3,11,"f","t","strict",9079,13573
"174","f","t","House","Entire home/apt",8,2.5,5,5,"Real Bed",350,1,14,0,"t","f","flexible",9079,13573
"175","f","t","Apartment","Entire home/apt",4,1,2,3,"Real Bed",140,1,2,9,"f","f","moderate",9079,13573
"176","f","f","Apartment","Entire home/apt",4,1,1,2,"Real Bed",150,2,1,2,"f","f","strict",9079,13573
"177","f","f","House","Entire home/apt",6,2,3,4,"Real Bed",295,1,3,1,"f","f","flexible",9079,13573
"178","f","f","Apartment","Entire home/apt",3,1,1,1,"Real Bed",185,1,1,0,"f","f","flexible",9079,13573
"179","t","t","Apartment","Entire home/apt",4,1,3,5,"Real Bed",289,4,2,10,"f","t","strict",9079,13573
"180","f","t","Condominium","Entire home/apt",4,1,2,2,"Real Bed",145,4,2,5,"f","f","strict",9079,13573
"181","f","f","Condominium","Entire home/apt",7,1,3,5,"Real Bed",267,6,2,18,"t","t","flexible",9079,13573
"182","t","t","House","Entire home/apt",9,3.5,4,5,"Real Bed",300,6,3,1,"f","f","strict",9079,13573
"184","f","t","Apartment","Shared room",2,1,1,1,"Pull-out Sofa",75,1,2,10,"f","f","flexible",9079,13573
"185","f","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",220,1,30,1,"f","f","strict",9079,13573
"186","t","t","Apartment","Private room",1,1,1,1,"Real Bed",60,1,30,5,"f","f","moderate",9079,13573
"187","f","f","Bed & Breakfast","Private room",2,1,1,1,"Real Bed",55,1,300,3,"f","f","flexible",9079,13573
"188","f","t","Apartment","Entire home/apt",6,2,3,3,"Real Bed",250,1,4,6,"f","f","strict",9079,13573
"189","f","t","Condominium","Entire home/apt",6,1,2,2,"Real Bed",225,2,90,15,"f","f","strict",9079,13573
"190","f","t","House","Entire home/apt",5,3.5,4,4,"Real Bed",325,4,3,11,"f","t","moderate",9079,13573
"191","f","t","House","Private room",2,1,1,1,"Real Bed",85,1,1,5,"f","f","flexible",9079,13573
"192","f","f","Apartment","Entire home/apt",5,2,2,3,"Real Bed",225,1,30,2,"f","f","moderate",9079,13573
"193","f","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",95,2,1,5,"f","f","flexible",9079,13573
"194","f","f","Apartment","Private room",2,1,1,1,"Real Bed",63,1,1,2,"f","f","flexible",9079,13573
"195","t","t","House","Private room",2,1,1,1,"Real Bed",71,1,3,232,"f","f","strict",9079,13573
"196","t","t","Apartment","Private room",2,1,1,1,"Real Bed",82,1,1,20,"f","f","moderate",9079,13573
"197","f","t","Apartment","Entire home/apt",4,2,2,3,"Real Bed",350,1,1,16,"t","f","strict",9079,13573
"198","f","t","House","Private room",2,1,1,1,"Real Bed",120,1,2,94,"f","f","flexible",9079,13573
"199","f","f","House","Private room",1,1,1,1,"Real Bed",39,1,7,0,"f","f","strict",9079,13573
